0,1,2,3,4,5,6
Instruction,Zca,Zcf,Zcd,Zcb,Zcmp,Zcmt
"The Zca extension is added as way to
point loads and stores",refer to instr,uctions in the,C extension,that do not i,nclude the fl,oating-
C excl. c.f*,yes,,,,,
The Zcf extension is added as a way to,refer to com,pressed sing,le-precision,floating-poin,t load/stores,
c.flw,,rv32,,,,
c.flwsp,,rv32,,,,
c.fsw,,rv32,,,,
c.fswsp,,rv32,,,,
The Zcd extension is added as a way t,o refer to com,pressed dou,ble-precision,floating-poi,nt load/store,s
c.fld,,,yes,,,
c.fldsp,,,yes,,,
c.fsd,,,yes,,,
c.fsdsp,,,yes,,,
Simple operations for use on all archi,tectures,,,,,
c.lbu,,,,yes,,
c.lh,,,,yes,,
c.lhu,,,,yes,,
c.sb,,,,yes,,
c.sh,,,,yes,,
c.zext.b,,,,yes,,
c.sext.b,,,,yes,,
c.zext.h,,,,yes,,
c.sext.h,,,,yes,,
c.zext.w,,,,yes,,
c.mul,,,,yes,,
c.not,,,,yes,,
PUSH/POP and double move which o,verlap with c.,fsdsp. Compl,ex operation,s intended fo,r embedded,CPUs
cm.push,,,,,yes,
cm.pop,,,,,yes,
cm.popret,,,,,yes,
