0,1,2
Base,Version,Status
Zilsd,1.0,Ratified
M,2.0,Ratified
Zmmul,1.0,Ratified
A,2.1,Ratified
Zawrs,1.01,Ratified
Zacas,1.0,Ratified
Zabha,1.0,Ratified
RVWMO,2.0,Ratified
Ztso,1.0,Ratified
CMO,1.0,Ratified
F,2.2,Ratified
D,2.2,Ratified
Q,2.2,Ratified
Zfh,1.0,Ratified
Zfhmin,1.0,Ratified
BF16,1.0,Ratified
Zfa,1.0,Ratified
Zfinx,1.0,Ratified
Zdinx,1.0,Ratified
Zhinx,1.0,Ratified
Zhinxmin,1.0,Ratified
C,2.0,Ratified
Zce,1.0,Ratified
Zclsd,1.0,Ratified
B,1.0,Ratified
V,1.0,Ratified
Zbkb,1.0,Ratified
Zbkc,1.0,Ratified
Zbkx,1.0,Ratified
Zk,1.0,Ratified
Zks,1.0,Ratified
Zvbb,1.0,Ratified
Zvbc,1.0,Ratified
Zvkg,1.0,Ratified
Zvkned,1.0,Ratified
Zvknhb,1.0,Ratified
Zvksed,1.0,Ratified
Zvksh,1.0,Ratified
Zvkt,1.0,Ratified
