0,1,2,3,4,5,6,7
RV32,RV64,Mnemonic,Instruction,Zbb,"Zbk
b",Zbc,"Zbk
c"
,✓,"clzw rd, rs",Count leading zero bits in word,✓,,,
✓,✓,"cpop rd, rs",Count set bits,✓,,,
,✓,"cpopw rd, rs",Count set bits in word,✓,,,
✓,✓,"ctz rd, rs",Count trailing zero bits,✓,,,
,✓,"ctzw rd, rs",Count trailing zero bits in word,✓,,,
✓,✓,"max rd, rs1, rs2",Maximum,✓,,,
✓,✓,"maxu rd, rs1, rs2",Unsigned maximum,✓,,,
✓,✓,"min rd, rs1, rs2",Minimum,✓,,,
✓,✓,"minu rd, rs1, rs2",Unsigned minimum,✓,,,
✓,✓,"orc.b rd, rs","Bitwise OR-Combine, byte granule",✓,,,
✓,✓,"orn rd, rs1, rs2",OR with inverted operand,✓,✓,,
✓,✓,"pack rd, rs1, rs2",Pack low halves of registers,,✓,,
✓,✓,"packh rd, rs1, rs2",Pack low bytes of registers,,✓,,
,✓,"packw rd, rs1, rs2",Pack low 16-bits of registers (RV64),,✓,,
✓,✓,"rev8 rd, rs",Byte-reverse register,✓,✓,,
✓,✓,"rol rd, rs1, rs2",Rotate left (Register),✓,✓,,
,✓,"rolw rd, rs1, rs2",Rotate Left Word (Register),✓,✓,,
✓,✓,"ror rd, rs1, rs2",Rotate right (Register),✓,✓,,
✓,✓,"rori rd, rs1, shamt",Rotate right (Immediate),✓,✓,,
,✓,"roriw rd, rs1, shamt",Rotate right Word (Immediate),✓,✓,,
,✓,"rorw rd, rs1, rs2",Rotate right Word (Register),✓,✓,,
✓,✓,"sext.b rd, rs",Sign-extend byte,✓,,,
✓,✓,"sext.h rd, rs",Sign-extend halfword,✓,,,
✓,,"unzip rd, rs",Bit deinterleave,,✓,,
✓,✓,"xnor rd, rs1, rs2",Exclusive NOR,✓,✓,,
✓,✓,"zext.h rd, rs",Zero-extend halfword,✓,,,
✓,,"zip rd, rs",Bit interleave,,✓,,
