0,1,2,3,4,5,6,7,8
,"me
w",widt,h [2:0,],Mem bits,Data Reg bits,Index bits,Opcodes
Standard scalar FP,x,0,0,1,16,FLEN,-,FLH/FSH
Standard scalar FP,x,0,1,0,32,FLEN,-,FLW/FSW
Standard scalar FP,x,0,1,1,64,FLEN,-,FLD/FSD
Standard scalar FP,x,1,0,0,128,FLEN,-,FLQ/FSQ
Vector 8b element,0,0,0,0,8,8,-,VLxE8/VSxE8
Vector 16b element,0,1,0,1,16,16,-,"VLxE16/VSxE1
6"
Vector 32b element,0,1,1,0,32,32,-,"VLxE32/VSxE3
2"
Vector 64b element,0,1,1,1,64,64,-,"VLxE64/VSxE6
4"
Vector 8b index,0,0,0,0,SEW,SEW,8,"VLxEI8/VSxEI
8"
Vector 16b index,0,1,0,1,SEW,SEW,16,"VLxEI16/VSxEI
16"
Vector 32b index,0,1,1,0,SEW,SEW,32,"VLxEI32/VSxEI
32"
Vector 64b index,0,1,1,1,SEW,SEW,64,"VLxEI64/VSxEI
64"
Reserved,1,X,X,X,-,-,-,
