0,1,2,3,4,5
output,,,,instruction,pseudoinstruction
0,0,0,0,"vmxor.mm vd, vd, vd",vmclr.m vd
1,0,0,0,"vmnor.mm vd, src1, src2",
0,1,0,0,"vmandn.mm vd, src2, src1",
1,1,0,0,"vmnand.mm vd, src1, src1","vmnot.m vd, src1"
0,0,1,0,"vmandn.mm vd, src1, src2",
1,0,1,0,"vmnand.mm vd, src2, src2","vmnot.m vd, src2"
0,1,1,0,"vmxor.mm vd, src1, src2",
1,1,1,0,"vmnand.mm vd, src1, src2",
0,0,0,1,"vmand.mm vd, src1, src2",
1,0,0,1,"vmxnor.mm vd, src1, src2",
0,1,0,1,"vmand.mm vd, src2, src2","vmmv.m vd, src2"
1,1,0,1,"vmorn.mm vd, src2, src1",
0,0,1,1,"vmand.mm vd, src1, src1","vmmv.m vd, src1"
1,0,1,1,"vmorn.mm vd, src1, src2",
0,1,1,1,"vmor.mm vd, src1, src2",
1,1,1,1,"vmxnor.mm vd, vd, vd",vmset.m vd
