0,1,2,3,4,5,6,7,8,9,10,11,12
funct6,,,,,funct6,,,,funct6,,,
110011,,,,,110011,V,X,vwsub,110011,V,,vfwredosum
110100,,,,,110100,V,X,vwaddu.w,110100,V,F,vfwadd.w
110101,V,X,I,vwsll,110101,V,X,vwadd.w,110101,,,
110110,,,,,110110,V,X,vwsubu.w,110110,V,F,vfwsub.w
110111,,,,,110111,V,X,vwsub.w,110111,,,
111000,,,,,111000,V,X,vwmulu,111000,V,F,vfwmul
111001,,,,,111001,,,,111001,,,
111010,,,,,111010,V,X,vwmulsu,111010,,,
111011,,,,,111011,V,X,vwmul,111011,,,
111100,,,,,111100,V,X,vwmaccu,111100,V,F,vfwmacc
111101,,,,,111101,V,X,vwmacc,111101,V,F,vfwnmacc
111110,,,,,111110,,X,vwmaccus,111110,V,F,vfwmsac
111111,,,,,111111,V,X,vwmaccsu,111111,V,F,vfwnmsac
