0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,RV,32Q,Stand,ard,Extensio,n,,,
,imm[1,1:0],,,,r,s1,1,00,r,d,000,0111,FLQ
,imm[1,1:5],,r,s2,r,s1,1,00,imm[,4:0],010,0111,FSQ
r,s3,1,1,r,s2,r,s1,r,m,r,d,100,0011,FMADD.Q
r,s3,1,1,r,s2,r,s1,r,m,r,d,100,0111,FMSUB.Q
r,s3,1,1,r,s2,r,s1,r,m,r,d,100,1011,FNMSUB.Q
r,s3,1,1,r,s2,r,s1,r,m,r,d,100,1111,FNMADD.Q
,0000,011,,r,s2,r,s1,r,m,r,d,101,0011,FADD.Q
,0000,111,,r,s2,r,s1,r,m,r,d,101,0011,FSUB.Q
,0001,011,,r,s2,r,s1,r,m,r,d,101,0011,FMUL.Q
,0001,111,,r,s2,r,s1,r,m,r,d,101,0011,FDIV.Q
,0101,111,,00,000,r,s1,r,m,r,d,101,0011,FSQRT.Q
,0010,011,,r,s2,r,s1,0,00,r,d,101,0011,FSGNJ.Q
,0010,011,,r,s2,r,s1,0,01,r,d,101,0011,FSGNJN.Q
,0010,011,,r,s2,r,s1,0,10,r,d,101,0011,FSGNJX.Q
,0010,111,,r,s2,r,s1,0,00,r,d,101,0011,FMIN.Q
,0010,111,,r,s2,r,s1,0,01,r,d,101,0011,FMAX.Q
,0100,000,,00,011,r,s1,r,m,r,d,101,0011,FCVT.S.Q
,0100,011,,00,000,r,s1,r,m,r,d,101,0011,FCVT.Q.S
,0100,001,,00,011,r,s1,r,m,r,d,101,0011,FCVT.D.Q
,0100,011,,00,001,r,s1,r,m,r,d,101,0011,FCVT.Q.D
,1010,011,,r,s2,r,s1,0,10,r,d,101,0011,FEQ.Q
,1010,011,,r,s2,r,s1,0,01,r,d,101,0011,FLT.Q
,1010,011,,r,s2,r,s1,0,00,r,d,101,0011,FLE.Q
,1110,011,,00,000,r,s1,0,01,r,d,101,0011,FCLASS.Q
,1100,011,,00,000,r,s1,r,m,r,d,101,0011,FCVT.W.Q
,1100,011,,00,001,r,s1,r,m,r,d,101,0011,FCVT.WU.Q
,1101,011,,00,000,r,s1,r,m,r,d,101,0011,FCVT.Q.W
,1101,011,,00,001,r,s1,r,m,r,d,101,0011,FCVT.Q.WU
